AltitudeBin,NumberStruck,Effect,FlightMonth,Damage,Engines,FlightPhase,ConditionsPrecipitation,WildlifeSize,ConditionsSky,PilotWarned,PeopleInjured,IsAircraftLarge?
"(1000, 2000]",Over 100,Engine Shut Down,11,Caused damage,2,Climb,None,Medium,No Cloud,N,0,Yes
"(-1, 0]",Over 100,None,7,Caused damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(30, 50]",Over 100,None,9,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(30, 50]",Over 100,Precautionary Landing,9,No damage,2,Climb,None,Small,Some Cloud,Y,0,Yes
"(30, 50]",Over 100,None,6,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(-1, 0]",Over 100,None,7,No damage,2,Take-off run,None,Small,No Cloud,N,0,No
"(100, 200]",Over 100,Other,8,Caused damage,2,Climb,None,Small,No Cloud,N,0,No
"(50, 100]",Over 100,Other,3,Caused damage,2,Approach,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,Aborted Take-off,1,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,1,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,No
"(100, 200]",2 to 10,None,1,No damage,2,Approach,None,Small,Some Cloud,N,0,No
"(1000, 2000]",2 to 10,None,1,Caused damage,2,Approach,None,Large,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,1,No damage,2,Landing Roll,None,Small,Overcast,N,0,No
"(1000, 2000]",2 to 10,None,1,No damage,2,Approach,Snow,Small,Overcast,N,0,No
"(30, 50]",2 to 10,None,1,No damage,2,Approach,None,Small,No Cloud,N,0,Yes
"(400, 600]",2 to 10,None,2,No damage,2,Approach,None,Large,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,2,No damage,2,Take-off run,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,2,No damage,2,Landing Roll,None,Small,Overcast,N,0,Yes
"(600, 1000]",2 to 10,None,2,No damage,2,Climb,None,Small,Some Cloud,N,0,Yes
"(400, 600]",2 to 10,None,2,Caused damage,2,Climb,None,Small,Some Cloud,N,0,No
"(3000, 5000]",2 to 10,None,2,No damage,2,Climb,Fog,Medium,Overcast,N,0,Yes
"(1000, 2000]",2 to 10,Precautionary Landing,2,No damage,2,Climb,None,Medium,No Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,2,No damage,2,Landing Roll,None,Large,Some Cloud,Y,0,Yes
"(1000, 2000]",2 to 10,None,3,No damage,2,Climb,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,3,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(10, 30]",2 to 10,None,3,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(100, 200]",2 to 10,Precautionary Landing,3,No damage,2,Climb,None,Small,No Cloud,N,0,No
"(50, 100]",2 to 10,None,3,No damage,2,Approach,Rain,Small,Overcast,N,0,Yes
"(0, 10]",2 to 10,None,3,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(0, 10]",2 to 10,None,3,No damage,2,Climb,None,Medium,No Cloud,Y,0,No
"(3000, 5000]",2 to 10,None,3,No damage,2,Descent,None,Small,No Cloud,N,0,No
"(600, 1000]",2 to 10,None,3,No damage,2,Approach,None,Medium,No Cloud,N,0,No
"(1000, 2000]",2 to 10,None,3,Caused damage,3,Approach,None,Medium,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,3,Caused damage,3,Landing Roll,None,Medium,Some Cloud,N,0,Yes
"(-1, 0]",2 to 10,Aborted Take-off,3,No damage,2,Take-off run,None,Medium,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,3,Caused damage,2,Landing Roll,None,Large,Some Cloud,N,0,Yes
"(600, 1000]",2 to 10,Engine Shut Down,3,Caused damage,2,Climb,None,Large,Overcast,Y,0,No
"(600, 1000]",2 to 10,None,3,No damage,2,Climb,None,Small,No Cloud,Y,0,No
"(1000, 2000]",2 to 10,None,3,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(600, 1000]",2 to 10,None,4,No damage,2,Approach,None,Small,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,4,No damage,4,Take-off run,None,Small,No Cloud,Y,0,No
"(30, 50]",2 to 10,None,4,No damage,2,Approach,None,Small,Some Cloud,N,0,No
"(600, 1000]",2 to 10,None,4,No damage,,Approach,None,Medium,No Cloud,Y,0,No
"(50, 100]",2 to 10,None,4,Caused damage,2,Climb,None,Medium,Some Cloud,N,0,No
"(50, 100]",2 to 10,None,4,No damage,2,Climb,None,Small,No Cloud,N,0,No
"(30, 50]",2 to 10,None,4,No damage,2,Approach,None,Small,Some Cloud,Y,0,Yes
"(-1, 0]",2 to 10,Other,4,Caused damage,2,Landing Roll,None,Large,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,4,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,Yes
"(400, 600]",2 to 10,None,4,No damage,2,Approach,None,Small,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,Aborted Take-off,4,No damage,2,Take-off run,None,Large,Some Cloud,N,0,No
"(3000, 5000]",2 to 10,None,4,Caused damage,4,Descent,None,Large,No Cloud,Y,0,No
"(600, 1000]",2 to 10,None,4,No damage,2,Approach,Rain,Small,Overcast,N,0,No
"(10, 30]",2 to 10,None,4,No damage,2,Approach,None,Small,Overcast,Y,0,Yes
"(1000, 2000]",2 to 10,None,4,No damage,2,Approach,None,Small,No Cloud,Y,0,No
"(1000, 2000]",2 to 10,None,5,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,5,No damage,2,Landing Roll,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,5,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,Yes
"(50, 100]",2 to 10,None,5,No damage,2,Approach,None,Small,Overcast,Y,0,Yes
"(-1, 0]",2 to 10,None,5,No damage,3,Landing Roll,None,Medium,Overcast,Y,0,No
"(30, 50]",2 to 10,None,5,No damage,2,Climb,None,Medium,Some Cloud,N,0,No
"(-1, 0]",2 to 10,Aborted Take-off,5,Caused damage,2,Take-off run,None,Small,Some Cloud,N,0,No
"(1000, 2000]",2 to 10,None,5,No damage,,Approach,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,5,No damage,2,Landing Roll,Rain,Medium,Overcast,Y,0,No
"(600, 1000]",2 to 10,None,5,No damage,2,Approach,None,Medium,Overcast,Y,0,No
"(10, 30]",2 to 10,None,5,No damage,2,Climb,None,Small,Some Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,5,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No
"(200, 400]",2 to 10,None,5,No damage,3,Approach,None,Small,No Cloud,Y,0,No
"(600, 1000]",2 to 10,Precautionary Landing,5,Caused damage,1,Climb,None,Medium,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Take-off run,Fog,Small,Overcast,Y,0,No
"(400, 600]",2 to 10,None,6,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(100, 200]",2 to 10,None,6,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Landing Roll,None,Medium,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,No
"(0, 10]",2 to 10,Precautionary Landing,6,No damage,2,Climb,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Landing Roll,None,Small,Overcast,N,0,Yes
"(600, 1000]",2 to 10,Precautionary Landing,6,Caused damage,2,Climb,None,Large,Overcast,N,0,Yes
