Effect,FlightMonth,Damage,Engines,FlightPhase,ConditionsPrecipitation,WildlifeSize,ConditionsSky,PilotWarned,PeopleInjured,IsAircraftLarge?,IsEngineShutDown,IsNone,IsAbortedTake-off,IsPrecautionaryLanding,IsOther,NumberStruck,AltitudeBin
Engine Shut Down,11,Caused damage,2,Climb,None,Medium,No Cloud,N,0,Yes,Yes,No,No,No,No,800-900,1001-2000
None,7,Caused damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,400-500,0
None,9,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,200-300,11-50
Precautionary Landing,9,No damage,2,Climb,None,Small,Some Cloud,Y,0,Yes,No,No,No,Yes,No,800-900,11-50
None,6,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,900-1000,11-50
None,7,No damage,2,Take-off run,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,500-600,0
Other,8,Caused damage,2,Climb,None,Small,No Cloud,N,0,No,No,No,No,No,Yes,200-300,101-500
Other,3,Caused damage,2,Approach,None,Small,Some Cloud,Y,0,No,No,No,No,No,Yes,300-400,51-100
Aborted Take-off,1,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No,No,No,Yes,No,No,8-9,0
None,1,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,4-5,0
None,1,No damage,2,Approach,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,2-3,101-500
None,1,Caused damage,2,Approach,None,Large,No Cloud,N,0,No,No,Yes,No,No,No,8-9,1001-2000
None,1,No damage,2,Landing Roll,None,Small,Overcast,N,0,No,No,Yes,No,No,No,2-3,0
None,1,No damage,2,Approach,Snow,Small,Overcast,N,0,No,No,Yes,No,No,No,2-3,1001-2000
None,1,No damage,2,Approach,None,Small,No Cloud,N,0,Yes,No,Yes,No,No,No,4-5,11-50
None,2,No damage,2,Approach,None,Large,Some Cloud,Y,0,No,No,Yes,No,No,No,4-5,101-500
None,2,No damage,2,Take-off run,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,8-9,0
None,2,No damage,2,Landing Roll,None,Small,Overcast,N,0,Yes,No,Yes,No,No,No,8-9,0
None,2,No damage,2,Climb,None,Small,Some Cloud,N,0,Yes,No,Yes,No,No,No,4-5,501-1000
None,2,Caused damage,2,Climb,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,6-7,101-500
None,2,No damage,2,Climb,Fog,Medium,Overcast,N,0,Yes,No,Yes,No,No,No,6-7,4001-5000
Precautionary Landing,2,No damage,2,Climb,None,Medium,No Cloud,Y,0,Yes,No,No,No,Yes,No,6-7,1001-2000
None,2,No damage,2,Landing Roll,None,Large,Some Cloud,Y,0,Yes,No,Yes,No,No,No,4-5,0
None,3,No damage,2,Climb,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,8-9,1001-2000
None,3,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,4-5,0
None,3,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,2-3,11-50
Precautionary Landing,3,No damage,2,Climb,None,Small,No Cloud,N,0,No,No,No,No,Yes,No,4-5,101-500
None,3,No damage,2,Approach,Rain,Small,Overcast,N,0,Yes,No,Yes,No,No,No,4-5,51-100
None,3,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,4-5,1-10
None,3,No damage,2,Climb,None,Medium,No Cloud,Y,0,No,No,Yes,No,No,No,4-5,1-10
None,3,No damage,2,Descent,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,6-7,4001-5000
None,3,No damage,2,Approach,None,Medium,No Cloud,N,0,No,No,Yes,No,No,No,8-9,501-1000
None,3,Caused damage,3,Approach,None,Medium,No Cloud,N,0,No,No,Yes,No,No,No,10-100,1001-2000
None,3,Caused damage,3,Landing Roll,None,Medium,Some Cloud,N,0,Yes,No,Yes,No,No,No,6-7,0
Aborted Take-off,3,No damage,2,Take-off run,None,Medium,Some Cloud,Y,0,No,No,No,Yes,No,No,8-9,0
None,3,Caused damage,2,Landing Roll,None,Large,Some Cloud,N,0,Yes,No,Yes,No,No,No,8-9,0
Engine Shut Down,3,Caused damage,2,Climb,None,Large,Overcast,Y,0,No,Yes,No,No,No,No,4-5,501-1000
None,3,No damage,2,Climb,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,2-3,501-1000
None,3,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,6-7,1001-2000
None,4,No damage,2,Approach,None,Small,No Cloud,N,0,Yes,No,Yes,No,No,No,10-100,501-1000
None,4,No damage,4,Take-off run,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,8-9,0
None,4,No damage,2,Approach,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,2-3,11-50
None,4,No damage,,Approach,None,Medium,No Cloud,Y,0,No,No,Yes,No,No,No,10-100,501-1000
None,4,Caused damage,2,Climb,None,Medium,Some Cloud,N,0,No,No,Yes,No,No,No,4-5,51-100
None,4,No damage,2,Climb,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,10-100,51-100
None,4,No damage,2,Approach,None,Small,Some Cloud,Y,0,Yes,No,Yes,No,No,No,10-100,11-50
Other,4,Caused damage,2,Landing Roll,None,Large,Some Cloud,N,0,No,No,No,No,No,Yes,2-3,0
None,4,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,Yes,No,Yes,No,No,No,2-3,0
None,4,No damage,2,Approach,None,Small,No Cloud,N,0,Yes,No,Yes,No,No,No,2-3,101-500
Aborted Take-off,4,No damage,2,Take-off run,None,Large,Some Cloud,N,0,No,No,No,Yes,No,No,8-9,0
None,4,Caused damage,4,Descent,None,Large,No Cloud,Y,0,No,No,Yes,No,No,No,8-9,3001-4000
None,4,No damage,2,Approach,Rain,Small,Overcast,N,0,No,No,Yes,No,No,No,6-7,501-1000
None,4,No damage,2,Approach,None,Small,Overcast,Y,0,Yes,No,Yes,No,No,No,2-3,11-50
None,4,No damage,2,Approach,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,10-100,1001-2000
None,5,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,2-3,1001-2000
None,5,No damage,2,Landing Roll,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,4-5,0
None,5,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,Yes,No,Yes,No,No,No,6-7,0
None,5,No damage,2,Approach,None,Small,Overcast,Y,0,Yes,No,Yes,No,No,No,4-5,51-100
None,5,No damage,3,Landing Roll,None,Medium,Overcast,Y,0,No,No,Yes,No,No,No,2-3,0
None,5,No damage,2,Climb,None,Medium,Some Cloud,N,0,No,No,Yes,No,No,No,4-5,11-50
Aborted Take-off,5,Caused damage,2,Take-off run,None,Small,Some Cloud,N,0,No,No,No,Yes,No,No,6-7,0
None,5,No damage,,Approach,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,8-9,1001-2000
None,5,No damage,2,Landing Roll,Rain,Medium,Overcast,Y,0,No,No,Yes,No,No,No,10-100,0
None,5,No damage,2,Approach,None,Medium,Overcast,Y,0,No,No,Yes,No,No,No,2-3,501-1000
None,5,No damage,2,Climb,None,Small,Some Cloud,Y,0,Yes,No,Yes,No,No,No,6-7,11-50
None,5,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,6-7,0
None,5,No damage,3,Approach,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,4-5,101-500
Precautionary Landing,5,Caused damage,1,Climb,None,Medium,Some Cloud,Y,0,No,No,No,No,Yes,No,2-3,501-1000
None,6,No damage,2,Take-off run,Fog,Small,Overcast,Y,0,No,No,Yes,No,No,No,2-3,0
None,6,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,10-100,101-500
None,6,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,8-9,101-500
None,6,No damage,2,Landing Roll,None,Medium,Some Cloud,Y,0,No,No,Yes,No,No,No,2-3,0
None,6,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,10-100,0
Precautionary Landing,6,No damage,2,Climb,None,Small,Some Cloud,Y,0,No,No,No,No,Yes,No,4-5,1-10
None,6,No damage,2,Landing Roll,None,Small,Overcast,N,0,Yes,No,Yes,No,No,No,2-3,0
Precautionary Landing,6,Caused damage,2,Climb,None,Large,Overcast,N,0,Yes,No,No,No,Yes,No,4-5,501-1000
None,6,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,8-9,101-500
None,6,No damage,2,Take-off run,None,Small,No Cloud,N,0,Yes,No,Yes,No,No,No,8-9,0
None,6,No damage,2,Approach,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,6-7,11-50
Precautionary Landing,6,No damage,2,Take-off run,None,Medium,Some Cloud,N,0,No,No,No,No,Yes,No,8-9,0
None,6,No damage,2,Landing Roll,Rain,Small,Overcast,N,0,No,No,Yes,No,No,No,4-5,0
None,6,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,Yes,No,Yes,No,No,No,2-3,0
None,6,No damage,1,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,10-100,11-50
None,6,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,10-100,0
None,6,No damage,3,Climb,None,Medium,Overcast,N,0,No,No,Yes,No,No,No,8-9,5001-6000
None,6,Caused damage,2,Landing Roll,None,Medium,Some Cloud,N,0,No,No,Yes,No,No,No,4-5,0
Precautionary Landing,6,Caused damage,2,Climb,None,Medium,No Cloud,N,0,No,No,No,No,Yes,No,2-3,51-100
Aborted Take-off,6,No damage,2,Take-off run,None,Small,No Cloud,Y,0,No,No,No,Yes,No,No,4-5,0
Aborted Take-off,6,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No,No,No,Yes,No,No,6-7,0
